point,coordinates
175_Geneve_vertex2,"6.119413,46.170048"
176_Geneve_center,"6.118081,46.171591"
176_Geneve_vertex1,"6.12067,46.171621"
176_Geneve_vertex2,"6.119338,46.173164"
177_Geneve_center,"6.118005,46.174707"
177_Geneve_vertex1,"6.120595,46.174737"
177_Geneve_vertex2,"6.119262,46.17628"
178_Geneve_center,"6.11793,46.177822"
178_Geneve_vertex1,"6.120519,46.177853"
178_Geneve_vertex2,"6.119187,46.179395"
179_Geneve_center,"6.117854,46.180938"
179_Geneve_vertex1,"6.120444,46.180968"
179_Geneve_vertex2,"6.119111,46.182511"
180_Geneve_center,"6.117779,46.184054"
180_Geneve_vertex1,"6.120368,46.184084"
180_Geneve_vertex2,"6.119036,46.185627"
181_Geneve_center,"6.117703,46.187169"
181_Geneve_vertex1,"6.120293,46.1872"
181_Geneve_vertex2,"6.11896,46.188742"
