point,coordinates
378_Geneve_vertex2,"6.146119,46.190615"
379_Geneve_center,"6.144787,46.192158"
379_Geneve_vertex1,"6.147377,46.192188"
379_Geneve_vertex2,"6.146045,46.193731"
380_Geneve_center,"6.144713,46.195274"
380_Geneve_vertex1,"6.147303,46.195304"
380_Geneve_vertex2,"6.145971,46.196847"
381_Geneve_center,"6.144639,46.19839"
381_Geneve_vertex1,"6.147229,46.198419"
381_Geneve_vertex2,"6.145897,46.199963"
382_Geneve_center,"6.144565,46.201506"
382_Geneve_vertex1,"6.147155,46.201535"
382_Geneve_vertex2,"6.145823,46.203078"
383_Geneve_center,"6.144491,46.204621"
383_Geneve_vertex1,"6.147081,46.204651"
383_Geneve_vertex2,"6.145749,46.206194"
384_Geneve_center,"6.144416,46.207737"
384_Geneve_vertex1,"6.147007,46.207767"
384_Geneve_vertex2,"6.145675,46.20931"
385_Geneve_center,"6.144342,46.210853"
385_Geneve_vertex1,"6.146933,46.210882"
385_Geneve_vertex2,"6.145601,46.212425"
386_Geneve_center,"6.144268,46.213969"
386_Geneve_vertex1,"6.146859,46.213998"
386_Geneve_vertex2,"6.145527,46.215541"
387_Geneve_center,"6.144194,46.217084"
387_Geneve_vertex1,"6.146785,46.217114"
387_Geneve_vertex2,"6.145453,46.218657"
388_Geneve_center,"6.14412,46.2202"
388_Geneve_vertex1,"6.146711,46.22023"
388_Geneve_vertex2,"6.145378,46.221773"
389_Geneve_center,"6.144046,46.223316"
389_Geneve_vertex1,"6.146637,46.223345"
389_Geneve_vertex2,"6.145304,46.224888"
390_Geneve_center,"6.143971,46.226431"
390_Geneve_vertex1,"6.146563,46.226461"
390_Geneve_vertex2,"6.14523,46.228004"
391_Geneve_center,"6.143897,46.229547"
391_Geneve_vertex1,"6.146489,46.229577"
391_Geneve_vertex2,"6.145156,46.23112"
392_Geneve_center,"6.143823,46.232663"
392_Geneve_vertex1,"6.146415,46.232693"
392_Geneve_vertex2,"6.145082,46.234236"
393_Geneve_center,"6.143749,46.235779"
393_Geneve_vertex1,"6.146341,46.235808"
393_Geneve_vertex2,"6.145008,46.237351"
394_Geneve_center,"6.143675,46.238894"
394_Geneve_vertex1,"6.146267,46.238924"
394_Geneve_vertex2,"6.144934,46.240467"
395_Geneve_center,"6.1436,46.24201"
395_Geneve_vertex1,"6.146193,46.24204"
395_Geneve_vertex2,"6.14486,46.243583"
396_Geneve_center,"6.143526,46.245126"
396_Geneve_vertex1,"6.146119,46.245156"
396_Geneve_vertex2,"6.144785,46.246699"
397_Geneve_center,"6.143452,46.248242"
397_Geneve_vertex1,"6.146045,46.248271"
397_Geneve_vertex2,"6.144711,46.249814"
397_Geneve_vertex3,"6.142118,46.249785"
398_Geneve_center,"6.149374,46.162603"
398_Geneve_vertex1,"6.151963,46.162633"
398_Geneve_vertex2,"6.150631,46.164176"
398_Geneve_vertex6,"6.150705,46.16106"
399_Geneve_center,"6.1493,46.165719"
399_Geneve_vertex1,"6.151889,46.165749"
399_Geneve_vertex2,"6.150558,46.167292"
400_Geneve_center,"6.149226,46.168835"
400_Geneve_vertex1,"6.151815,46.168864"
400_Geneve_vertex2,"6.150484,46.170407"
401_Geneve_center,"6.149152,46.17195"
401_Geneve_vertex1,"6.151742,46.17198"
401_Geneve_vertex2,"6.15041,46.173523"
402_Geneve_center,"6.149079,46.175066"
402_Geneve_vertex1,"6.151668,46.175096"
402_Geneve_vertex2,"6.150336,46.176639"
403_Geneve_center,"6.149005,46.178182"
403_Geneve_vertex1,"6.151594,46.178212"
403_Geneve_vertex2,"6.150263,46.179755"
404_Geneve_center,"6.148931,46.181298"
404_Geneve_vertex1,"6.151521,46.181327"
404_Geneve_vertex2,"6.150189,46.18287"
405_Geneve_center,"6.148857,46.184413"
405_Geneve_vertex1,"6.151447,46.184443"
405_Geneve_vertex2,"6.150115,46.185986"
406_Geneve_center,"6.148783,46.187529"
406_Geneve_vertex1,"6.151373,46.187559"
406_Geneve_vertex2,"6.150041,46.189102"
407_Geneve_center,"6.148709,46.190645"
407_Geneve_vertex1,"6.151299,46.190675"
407_Geneve_vertex2,"6.149968,46.192218"
408_Geneve_center,"6.148635,46.193761"
408_Geneve_vertex1,"6.151226,46.19379"
408_Geneve_vertex2,"6.149894,46.195333"
409_Geneve_center,"6.148562,46.196876"
409_Geneve_vertex1,"6.151152,46.196906"
409_Geneve_vertex2,"6.14982,46.198449"
410_Geneve_center,"6.148488,46.199992"
410_Geneve_vertex1,"6.151078,46.200022"
410_Geneve_vertex2,"6.149746,46.201565"
411_Geneve_center,"6.148414,46.203108"
411_Geneve_vertex1,"6.151005,46.203138"
411_Geneve_vertex2,"6.149672,46.204681"
412_Geneve_center,"6.14834,46.206224"
412_Geneve_vertex1,"6.150931,46.206253"
412_Geneve_vertex2,"6.149598,46.207796"
413_Geneve_center,"6.148266,46.209339"
413_Geneve_vertex1,"6.150857,46.209369"
413_Geneve_vertex2,"6.149525,46.210912"
414_Geneve_center,"6.148192,46.212455"
414_Geneve_vertex1,"6.150783,46.212485"
414_Geneve_vertex2,"6.149451,46.214028"
415_Geneve_center,"6.148118,46.215571"
415_Geneve_vertex1,"6.150709,46.2156"
415_Geneve_vertex2,"6.149377,46.217144"
416_Geneve_center,"6.148044,46.218687"
416_Geneve_vertex1,"6.150636,46.218716"
416_Geneve_vertex2,"6.149303,46.220259"
417_Geneve_center,"6.14797,46.221802"
417_Geneve_vertex1,"6.150562,46.221832"
417_Geneve_vertex2,"6.149229,46.223375"
418_Geneve_center,"6.147896,46.224918"
418_Geneve_vertex1,"6.150488,46.224948"
418_Geneve_vertex2,"6.149155,46.226491"
419_Geneve_center,"6.147822,46.228034"
419_Geneve_vertex1,"6.150414,46.228063"
419_Geneve_vertex2,"6.149081,46.229607"
420_Geneve_center,"6.147748,46.23115"
420_Geneve_vertex1,"6.15034,46.231179"
420_Geneve_vertex2,"6.149007,46.232722"
421_Geneve_center,"6.147674,46.234265"
421_Geneve_vertex1,"6.150266,46.234295"
421_Geneve_vertex2,"6.148933,46.235838"
422_Geneve_center,"6.1476,46.237381"
422_Geneve_vertex1,"6.150193,46.237411"
422_Geneve_vertex2,"6.148859,46.238954"
423_Geneve_center,"6.147526,46.240497"
423_Geneve_vertex1,"6.150119,46.240526"
423_Geneve_vertex2,"6.148786,46.24207"
424_Geneve_center,"6.147452,46.243613"
424_Geneve_vertex1,"6.150045,46.243642"
424_Geneve_vertex2,"6.148712,46.245185"
425_Geneve_center,"6.147378,46.246728"
425_Geneve_vertex1,"6.149971,46.246758"
425_Geneve_vertex2,"6.148638,46.248301"
426_Geneve_center,"6.153294,46.16109"
426_Geneve_vertex1,"6.155883,46.161119"
426_Geneve_vertex2,"6.154552,46.162662"
426_Geneve_vertex5,"6.152036,46.159517"
426_Geneve_vertex6,"6.154625,46.159547"
427_Geneve_center,"6.15322,46.164205"
427_Geneve_vertex1,"6.155809,46.164235"
427_Geneve_vertex2,"6.154478,46.165778"
428_Geneve_center,"6.153147,46.167321"
428_Geneve_vertex1,"6.155736,46.167351"
428_Geneve_vertex2,"6.154405,46.168894"
429_Geneve_center,"6.153073,46.170437"
429_Geneve_vertex1,"6.155662,46.170466"
429_Geneve_vertex2,"6.154331,46.17201"
430_Geneve_center,"6.153,46.173553"
430_Geneve_vertex1,"6.155589,46.173582"
430_Geneve_vertex2,"6.154257,46.175125"
431_Geneve_center,"6.152926,46.176668"
431_Geneve_vertex1,"6.155515,46.176698"
431_Geneve_vertex2,"6.154184,46.178241"
432_Geneve_center,"6.152852,46.179784"
432_Geneve_vertex1,"6.155442,46.179814"
432_Geneve_vertex2,"6.15411,46.181357"
433_Geneve_center,"6.152779,46.1829"
433_Geneve_vertex1,"6.155369,46.182929"
433_Geneve_vertex2,"6.154037,46.184473"
434_Geneve_center,"6.152705,46.186016"
434_Geneve_vertex1,"6.155295,46.186045"
434_Geneve_vertex2,"6.153963,46.187588"
435_Geneve_center,"6.152631,46.189131"
435_Geneve_vertex1,"6.155222,46.189161"
435_Geneve_vertex2,"6.15389,46.190704"
436_Geneve_center,"6.152558,46.192247"
436_Geneve_vertex1,"6.155148,46.192277"
436_Geneve_vertex2,"6.153816,46.19382"
437_Geneve_center,"6.152484,46.195363"
437_Geneve_vertex1,"6.155075,46.195392"
437_Geneve_vertex2,"6.153743,46.196936"
438_Geneve_center,"6.15241,46.198479"
438_Geneve_vertex1,"6.155001,46.198508"
438_Geneve_vertex2,"6.153669,46.200051"
439_Geneve_center,"6.152337,46.201594"
439_Geneve_vertex1,"6.154927,46.201624"
439_Geneve_vertex2,"6.153595,46.203167"
440_Geneve_center,"6.152263,46.20471"
440_Geneve_vertex1,"6.154854,46.20474"
440_Geneve_vertex2,"6.153522,46.206283"
441_Geneve_center,"6.152189,46.207826"
441_Geneve_vertex1,"6.15478,46.207855"
441_Geneve_vertex2,"6.153448,46.209399"
442_Geneve_center,"6.152116,46.210942"
442_Geneve_vertex1,"6.154707,46.210971"
442_Geneve_vertex2,"6.153374,46.212514"
443_Geneve_center,"6.152042,46.214057"
443_Geneve_vertex1,"6.154633,46.214087"
443_Geneve_vertex2,"6.153301,46.21563"
444_Geneve_center,"6.151968,46.217173"
444_Geneve_vertex1,"6.15456,46.217203"
444_Geneve_vertex2,"6.153227,46.218746"
445_Geneve_center,"6.151895,46.220289"
445_Geneve_vertex1,"6.154486,46.220318"
445_Geneve_vertex2,"6.153153,46.221862"
446_Geneve_center,"6.151821,46.223405"
446_Geneve_vertex1,"6.154413,46.223434"
446_Geneve_vertex2,"6.15308,46.224977"
447_Geneve_center,"6.151747,46.22652"
447_Geneve_vertex1,"6.154339,46.22655"
447_Geneve_vertex2,"6.153006,46.228093"
448_Geneve_center,"6.151673,46.229636"
448_Geneve_vertex1,"6.154265,46.229666"
448_Geneve_vertex2,"6.152932,46.231209"
449_Geneve_center,"6.1516,46.232752"
449_Geneve_vertex1,"6.154192,46.232781"
449_Geneve_vertex2,"6.152859,46.234325"
450_Geneve_center,"6.151526,46.235868"
450_Geneve_vertex1,"6.154118,46.235897"
450_Geneve_vertex2,"6.152785,46.23744"
451_Geneve_center,"6.151452,46.238983"
451_Geneve_vertex1,"6.154044,46.239013"
451_Geneve_vertex2,"6.152711,46.240556"
452_Geneve_center,"6.151378,46.242099"
452_Geneve_vertex1,"6.153971,46.242129"
452_Geneve_vertex2,"6.152638,46.243672"
453_Geneve_center,"6.151304,46.245215"
453_Geneve_vertex1,"6.153897,46.245244"
453_Geneve_vertex2,"6.152564,46.246788"
454_Geneve_center,"6.151231,46.248331"
454_Geneve_vertex1,"6.153824,46.24836"
454_Geneve_vertex2,"6.15249,46.249903"
454_Geneve_vertex3,"6.149897,46.249874"
455_Geneve_center,"6.15714,46.162692"
455_Geneve_vertex1,"6.159729,46.162721"
455_Geneve_vertex2,"6.158398,46.164264"
455_Geneve_vertex6,"6.158471,46.161149"
456_Geneve_center,"6.157067,46.165808"
456_Geneve_vertex1,"6.159656,46.165837"
456_Geneve_vertex2,"6.158325,46.16738"
457_Geneve_center,"6.156994,46.168923"
457_Geneve_vertex1,"6.159583,46.168953"
457_Geneve_vertex2,"6.158252,46.170496"
458_Geneve_center,"6.15692,46.172039"
458_Geneve_vertex1,"6.15951,46.172068"
458_Geneve_vertex2,"6.158178,46.173612"
459_Geneve_center,"6.156847,46.175155"
459_Geneve_vertex1,"6.159436,46.175184"
459_Geneve_vertex2,"6.158105,46.176727"
460_Geneve_center,"6.156774,46.178271"
460_Geneve_vertex1,"6.159363,46.1783"
460_Geneve_vertex2,"6.158032,46.179843"
461_Geneve_center,"6.1567,46.181386"
461_Geneve_vertex1,"6.15929,46.181416"
461_Geneve_vertex2,"6.157958,46.182959"
462_Geneve_center,"6.156627,46.184502"
462_Geneve_vertex1,"6.159217,46.184531"
462_Geneve_vertex2,"6.157885,46.186075"
463_Geneve_center,"6.156553,46.187618"
463_Geneve_vertex1,"6.159143,46.187647"
463_Geneve_vertex2,"6.157812,46.18919"
464_Geneve_center,"6.15648,46.190734"
464_Geneve_vertex1,"6.15907,46.190763"
464_Geneve_vertex2,"6.157738,46.192306"
465_Geneve_center,"6.156406,46.193849"
465_Geneve_vertex1,"6.158997,46.193879"
465_Geneve_vertex2,"6.157665,46.195422"
466_Geneve_center,"6.156333,46.196965"
466_Geneve_vertex1,"6.158923,46.196994"
466_Geneve_vertex2,"6.157592,46.198538"
467_Geneve_center,"6.15626,46.200081"
467_Geneve_vertex1,"6.15885,46.20011"
467_Geneve_vertex2,"6.157518,46.201653"
468_Geneve_center,"6.156186,46.203197"
468_Geneve_vertex1,"6.158777,46.203226"
468_Geneve_vertex2,"6.157445,46.204769"
469_Geneve_center,"6.156113,46.206312"
469_Geneve_vertex1,"6.158704,46.206342"
469_Geneve_vertex2,"6.157371,46.207885"
470_Geneve_center,"6.156039,46.209428"
470_Geneve_vertex1,"6.15863,46.209457"
470_Geneve_vertex2,"6.157298,46.211001"
471_Geneve_center,"6.155966,46.212544"
471_Geneve_vertex1,"6.158557,46.212573"
471_Geneve_vertex2,"6.157225,46.214116"
472_Geneve_center,"6.155892,46.21566"
472_Geneve_vertex1,"6.158484,46.215689"
472_Geneve_vertex2,"6.157151,46.217232"
473_Geneve_center,"6.155819,46.218775"
473_Geneve_vertex1,"6.15841,46.218805"
473_Geneve_vertex2,"6.157078,46.220348"
474_Geneve_center,"6.155745,46.221891"
474_Geneve_vertex1,"6.158337,46.22192"
474_Geneve_vertex2,"6.157004,46.223464"
475_Geneve_center,"6.155672,46.225007"
475_Geneve_vertex1,"6.158263,46.225036"
475_Geneve_vertex2,"6.156931,46.226579"
476_Geneve_center,"6.155598,46.228123"
476_Geneve_vertex1,"6.15819,46.228152"
476_Geneve_vertex2,"6.156857,46.229695"
477_Geneve_center,"6.155525,46.231238"
477_Geneve_vertex1,"6.158117,46.231268"
477_Geneve_vertex2,"6.156784,46.232811"
478_Geneve_center,"6.155451,46.234354"
478_Geneve_vertex1,"6.158043,46.234383"
478_Geneve_vertex2,"6.15671,46.235927"
479_Geneve_center,"6.155377,46.23747"
479_Geneve_vertex1,"6.15797,46.237499"
479_Geneve_vertex2,"6.156637,46.239042"
480_Geneve_center,"6.155304,46.240586"
480_Geneve_vertex1,"6.157896,46.240615"
480_Geneve_vertex2,"6.156563,46.242158"
481_Geneve_center,"6.15523,46.243701"
481_Geneve_vertex1,"6.157823,46.243731"
481_Geneve_vertex2,"6.15649,46.245274"
482_Geneve_center,"6.155157,46.246817"
482_Geneve_vertex1,"6.15775,46.246847"
482_Geneve_vertex2,"6.156416,46.24839"
483_Geneve_center,"6.16106,46.161178"
483_Geneve_vertex1,"6.163649,46.161207"
483_Geneve_vertex2,"6.162318,46.162751"
483_Geneve_vertex5,"6.159802,46.159605"
483_Geneve_vertex6,"6.162391,46.159635"
484_Geneve_center,"6.160987,46.164294"
484_Geneve_vertex1,"6.163576,46.164323"
484_Geneve_vertex2,"6.162245,46.165866"
485_Geneve_center,"6.160914,46.16741"
485_Geneve_vertex1,"6.163503,46.167439"
485_Geneve_vertex2,"6.162172,46.168982"
486_Geneve_center,"6.160841,46.170525"
486_Geneve_vertex1,"6.16343,46.170555"
486_Geneve_vertex2,"6.162099,46.172098"
487_Geneve_center,"6.160768,46.173641"
487_Geneve_vertex1,"6.163357,46.17367"
487_Geneve_vertex2,"6.162026,46.175214"
488_Geneve_center,"6.160695,46.176757"
488_Geneve_vertex1,"6.163284,46.176786"
488_Geneve_vertex2,"6.161953,46.178329"
489_Geneve_center,"6.160621,46.179873"
489_Geneve_vertex1,"6.163211,46.179902"
489_Geneve_vertex2,"6.16188,46.181445"
490_Geneve_center,"6.160548,46.182988"
490_Geneve_vertex1,"6.163138,46.183018"
490_Geneve_vertex2,"6.161807,46.184561"
491_Geneve_center,"6.160475,46.186104"
491_Geneve_vertex1,"6.163065,46.186133"
491_Geneve_vertex2,"6.161733,46.187677"
492_Geneve_center,"6.160402,46.18922"
492_Geneve_vertex1,"6.162992,46.189249"
492_Geneve_vertex2,"6.16166,46.190792"
493_Geneve_center,"6.160329,46.192336"
493_Geneve_vertex1,"6.162919,46.192365"
493_Geneve_vertex2,"6.161587,46.193908"
494_Geneve_center,"6.160255,46.195451"
494_Geneve_vertex1,"6.162846,46.195481"
494_Geneve_vertex2,"6.161514,46.197024"
495_Geneve_center,"6.160182,46.198567"
495_Geneve_vertex1,"6.162773,46.198596"
495_Geneve_vertex2,"6.161441,46.20014"
496_Geneve_center,"6.160109,46.201683"
496_Geneve_vertex1,"6.1627,46.201712"
496_Geneve_vertex2,"6.161368,46.203255"
497_Geneve_center,"6.160036,46.204799"
497_Geneve_vertex1,"6.162627,46.204828"
497_Geneve_vertex2,"6.161294,46.206371"
498_Geneve_center,"6.159962,46.207914"
498_Geneve_vertex1,"6.162553,46.207944"
498_Geneve_vertex2,"6.161221,46.209487"
499_Geneve_center,"6.159889,46.21103"
499_Geneve_vertex1,"6.16248,46.211059"
499_Geneve_vertex2,"6.161148,46.212603"
500_Geneve_center,"6.159816,46.214146"
500_Geneve_vertex1,"6.162407,46.214175"
500_Geneve_vertex2,"6.161075,46.215718"
501_Geneve_center,"6.159743,46.217262"
501_Geneve_vertex1,"6.162334,46.217291"
501_Geneve_vertex2,"6.161002,46.218834"
502_Geneve_center,"6.159669,46.220377"
502_Geneve_vertex1,"6.162261,46.220407"
502_Geneve_vertex2,"6.160929,46.22195"
503_Geneve_center,"6.159596,46.223493"
503_Geneve_vertex1,"6.162188,46.223522"
503_Geneve_vertex2,"6.160855,46.225066"
504_Geneve_center,"6.159523,46.226609"
504_Geneve_vertex1,"6.162115,46.226638"
504_Geneve_vertex2,"6.160782,46.228181"
505_Geneve_center,"6.159449,46.229725"
505_Geneve_vertex1,"6.162041,46.229754"
505_Geneve_vertex2,"6.160709,46.231297"
506_Geneve_center,"6.159376,46.23284"
506_Geneve_vertex1,"6.161968,46.23287"
506_Geneve_vertex2,"6.160636,46.234413"
507_Geneve_center,"6.159303,46.235956"
507_Geneve_vertex1,"6.161895,46.235985"
507_Geneve_vertex2,"6.160562,46.237529"
508_Geneve_center,"6.159229,46.239072"
508_Geneve_vertex1,"6.161822,46.239101"
508_Geneve_vertex2,"6.160489,46.240644"
509_Geneve_center,"6.159156,46.242188"
509_Geneve_vertex1,"6.161749,46.242217"
509_Geneve_vertex2,"6.160416,46.24376"
510_Geneve_center,"6.159083,46.245303"
510_Geneve_vertex1,"6.161676,46.245333"
510_Geneve_vertex2,"6.160342,46.246876"
511_Geneve_center,"6.164907,46.16278"
511_Geneve_vertex1,"6.167496,46.162809"
511_Geneve_vertex2,"6.166165,46.164352"
511_Geneve_vertex6,"6.166238,46.161237"
512_Geneve_center,"6.164834,46.165896"
512_Geneve_vertex1,"6.167423,46.165925"
512_Geneve_vertex2,"6.166092,46.167468"
513_Geneve_center,"6.164761,46.169011"
513_Geneve_vertex1,"6.16735,46.169041"
513_Geneve_vertex2,"6.166019,46.170584"
514_Geneve_center,"6.164688,46.172127"
514_Geneve_vertex1,"6.167278,46.172156"
514_Geneve_vertex2,"6.165946,46.1737"
515_Geneve_center,"6.164615,46.175243"
515_Geneve_vertex1,"6.167205,46.175272"
515_Geneve_vertex2,"6.165874,46.176815"
516_Geneve_center,"6.164542,46.178359"
516_Geneve_vertex1,"6.167132,46.178388"
516_Geneve_vertex2,"6.165801,46.179931"
517_Geneve_center,"6.164469,46.181474"
517_Geneve_vertex1,"6.167059,46.181504"
517_Geneve_vertex2,"6.165728,46.183047"
518_Geneve_center,"6.164396,46.18459"
518_Geneve_vertex1,"6.166986,46.184619"
518_Geneve_vertex2,"6.165655,46.186163"
519_Geneve_center,"6.164323,46.187706"
519_Geneve_vertex1,"6.166914,46.187735"
519_Geneve_vertex2,"6.165582,46.189278"
520_Geneve_center,"6.16425,46.190822"
520_Geneve_vertex1,"6.166841,46.190851"
520_Geneve_vertex2,"6.165509,46.192394"
521_Geneve_center,"6.164177,46.193937"
521_Geneve_vertex1,"6.166768,46.193967"
521_Geneve_vertex2,"6.165436,46.19551"
522_Geneve_center,"6.164104,46.197053"
522_Geneve_vertex1,"6.166695,46.197082"
522_Geneve_vertex2,"6.165363,46.198626"
523_Geneve_center,"6.164031,46.200169"
523_Geneve_vertex1,"6.166622,46.200198"
523_Geneve_vertex2,"6.16529,46.201741"
524_Geneve_center,"6.163958,46.203285"
524_Geneve_vertex1,"6.166549,46.203314"
524_Geneve_vertex2,"6.165217,46.204857"
525_Geneve_center,"6.163885,46.2064"
525_Geneve_vertex1,"6.166476,46.20643"
525_Geneve_vertex2,"6.165144,46.207973"
526_Geneve_center,"6.163812,46.209516"
526_Geneve_vertex1,"6.166403,46.209545"
526_Geneve_vertex2,"6.165071,46.211089"
527_Geneve_center,"6.163739,46.212632"
527_Geneve_vertex1,"6.166331,46.212661"
527_Geneve_vertex2,"6.164998,46.214204"
528_Geneve_center,"6.163666,46.215748"
528_Geneve_vertex1,"6.166258,46.215777"
528_Geneve_vertex2,"6.164926,46.21732"
529_Geneve_center,"6.163593,46.218863"
529_Geneve_vertex1,"6.166185,46.218893"
529_Geneve_vertex2,"6.164853,46.220436"
530_Geneve_center,"6.16352,46.221979"
530_Geneve_vertex1,"6.166112,46.222008"
530_Geneve_vertex2,"6.16478,46.223552"
531_Geneve_center,"6.163447,46.225095"
531_Geneve_vertex1,"6.166039,46.225124"
531_Geneve_vertex2,"6.164707,46.226667"
532_Geneve_center,"6.163374,46.228211"
532_Geneve_vertex1,"6.165966,46.22824"
532_Geneve_vertex2,"6.164634,46.229783"
533_Geneve_center,"6.163301,46.231326"
533_Geneve_vertex1,"6.165893,46.231356"
533_Geneve_vertex2,"6.16456,46.232899"
534_Geneve_center,"6.163228,46.234442"
534_Geneve_vertex1,"6.16582,46.234471"
534_Geneve_vertex2,"6.164487,46.236015"
535_Geneve_center,"6.163155,46.237558"
535_Geneve_vertex1,"6.165747,46.237587"
535_Geneve_vertex2,"6.164414,46.23913"
536_Geneve_center,"6.163082,46.240674"
536_Geneve_vertex1,"6.165674,46.240703"
536_Geneve_vertex2,"6.164341,46.242246"
537_Geneve_center,"6.163009,46.243789"
537_Geneve_vertex1,"6.165601,46.243819"
537_Geneve_vertex2,"6.164268,46.245362"
538_Geneve_center,"6.162935,46.246905"
538_Geneve_vertex1,"6.165528,46.246934"
538_Geneve_vertex2,"6.164195,46.248478"
538_Geneve_vertex3,"6.161602,46.248448"
539_Geneve_center,"6.168754,46.164382"
539_Geneve_vertex1,"6.171343,46.164411"
539_Geneve_vertex2,"6.170012,46.165954"
539_Geneve_vertex6,"6.170085,46.162838"
540_Geneve_center,"6.168681,46.167497"
540_Geneve_vertex1,"6.17127,46.167526"
540_Geneve_vertex2,"6.16994,46.16907"
541_Geneve_center,"6.168609,46.170613"
541_Geneve_vertex1,"6.171198,46.170642"
541_Geneve_vertex2,"6.169867,46.172185"
542_Geneve_center,"6.168536,46.173729"
542_Geneve_vertex1,"6.171125,46.173758"
542_Geneve_vertex2,"6.169794,46.175301"
543_Geneve_center,"6.168463,46.176845"
543_Geneve_vertex1,"6.171053,46.176874"
543_Geneve_vertex2,"6.169722,46.178417"
544_Geneve_center,"6.16839,46.17996"
544_Geneve_vertex1,"6.17098,46.179989"
544_Geneve_vertex2,"6.169649,46.181533"
545_Geneve_center,"6.168318,46.183076"
545_Geneve_vertex1,"6.170907,46.183105"
545_Geneve_vertex2,"6.169576,46.184648"
546_Geneve_center,"6.168245,46.186192"
546_Geneve_vertex1,"6.170835,46.186221"
546_Geneve_vertex2,"6.169504,46.187764"
547_Geneve_center,"6.168172,46.189308"
547_Geneve_vertex1,"6.170762,46.189337"
547_Geneve_vertex2,"6.169431,46.19088"
548_Geneve_center,"6.168099,46.192423"
548_Geneve_vertex1,"6.17069,46.192452"
548_Geneve_vertex2,"6.169358,46.193996"
549_Geneve_center,"6.168027,46.195539"
549_Geneve_vertex1,"6.170617,46.195568"
549_Geneve_vertex2,"6.169285,46.197112"
550_Geneve_center,"6.167954,46.198655"
550_Geneve_vertex1,"6.170544,46.198684"
550_Geneve_vertex2,"6.169213,46.200227"
551_Geneve_center,"6.167881,46.201771"
551_Geneve_vertex1,"6.170472,46.2018"
551_Geneve_vertex2,"6.16914,46.203343"
552_Geneve_center,"6.167808,46.204886"
552_Geneve_vertex1,"6.170399,46.204915"
552_Geneve_vertex2,"6.169067,46.206459"
553_Geneve_center,"6.167735,46.208002"
553_Geneve_vertex1,"6.170326,46.208031"
553_Geneve_vertex2,"6.168995,46.209575"
554_Geneve_center,"6.167663,46.211118"
554_Geneve_vertex1,"6.170254,46.211147"
554_Geneve_vertex2,"6.168922,46.21269"
555_Geneve_center,"6.16759,46.214234"
555_Geneve_vertex1,"6.170181,46.214263"
555_Geneve_vertex2,"6.168849,46.215806"
556_Geneve_center,"6.167517,46.217349"
556_Geneve_vertex1,"6.170108,46.217379"
556_Geneve_vertex2,"6.168776,46.218922"
557_Geneve_center,"6.167444,46.220465"
557_Geneve_vertex1,"6.170036,46.220494"
557_Geneve_vertex2,"6.168704,46.222038"
558_Geneve_center,"6.167371,46.223581"
558_Geneve_vertex1,"6.169963,46.22361"
558_Geneve_vertex2,"6.168631,46.225153"
559_Geneve_center,"6.167298,46.226697"
559_Geneve_vertex1,"6.16989,46.226726"
559_Geneve_vertex2,"6.168558,46.228269"
560_Geneve_center,"6.167226,46.229812"
560_Geneve_vertex1,"6.169818,46.229842"
560_Geneve_vertex2,"6.168485,46.231385"
561_Geneve_center,"6.167153,46.232928"
561_Geneve_vertex1,"6.169745,46.232957"
561_Geneve_vertex2,"6.168412,46.234501"
562_Geneve_center,"6.16708,46.236044"
562_Geneve_vertex1,"6.169672,46.236073"
562_Geneve_vertex2,"6.16834,46.237616"
563_Geneve_center,"6.167007,46.23916"
563_Geneve_vertex1,"6.169599,46.239189"
563_Geneve_vertex2,"6.168267,46.240732"
564_Geneve_center,"6.166934,46.242275"
564_Geneve_vertex1,"6.169527,46.242305"
564_Geneve_vertex2,"6.168194,46.243848"
565_Geneve_center,"6.166861,46.245391"
565_Geneve_vertex1,"6.169454,46.24542"
565_Geneve_vertex2,"6.168121,46.246964"
566_Geneve_center,"6.172601,46.165983"
566_Geneve_vertex1,"6.17519,46.166012"
566_Geneve_vertex2,"6.173859,46.167555"
566_Geneve_vertex6,"6.173932,46.16444"
567_Geneve_center,"6.172529,46.169099"
567_Geneve_vertex1,"6.175118,46.169128"
567_Geneve_vertex2,"6.173787,46.170671"
568_Geneve_center,"6.172456,46.172215"
568_Geneve_vertex1,"6.175046,46.172244"
568_Geneve_vertex2,"6.173715,46.173787"
569_Geneve_center,"6.172384,46.17533"
569_Geneve_vertex1,"6.174973,46.175359"
569_Geneve_vertex2,"6.173642,46.176903"
570_Geneve_center,"6.172311,46.178446"
570_Geneve_vertex1,"6.174901,46.178475"
570_Geneve_vertex2,"6.17357,46.180019"
571_Geneve_center,"6.172239,46.181562"
571_Geneve_vertex1,"6.174828,46.181591"
571_Geneve_vertex2,"6.173497,46.183134"
572_Geneve_center,"6.172166,46.184678"
572_Geneve_vertex1,"6.174756,46.184707"
572_Geneve_vertex2,"6.173425,46.18625"
573_Geneve_center,"6.172094,46.187793"
573_Geneve_vertex1,"6.174684,46.187822"
573_Geneve_vertex2,"6.173352,46.189366"
574_Geneve_center,"6.172021,46.190909"
574_Geneve_vertex1,"6.174611,46.190938"
574_Geneve_vertex2,"6.17328,46.192482"
575_Geneve_center,"6.171949,46.194025"
575_Geneve_vertex1,"6.174539,46.194054"
575_Geneve_vertex2,"6.173207,46.195597"
576_Geneve_center,"6.171876,46.197141"
576_Geneve_vertex1,"6.174466,46.19717"
576_Geneve_vertex2,"6.173135,46.198713"
